sensor_key,sensor_description,value,last_shared_date,period(min)
CO@2_0_24,House 2_Floor1_Kitchen_Electric_Sockets_CumEnergy,0.0,2024-03-15 13:36:22,
CO@2_0_240,House 2_Floor_Global_Electric_Lights_ALL Control,0.0,2024-03-15 13:36:02,
CO@2_0_241,House 2_Floor_Global_Electric_Sockets_All Control,,,
CO@2_0_3,House 2_Floor_Global_Electric_Power,1349.18994140625,2024-04-29 08:54:40,
CO@2_0_34,House 2_Floor2_Bed1_Electric_Sockets_Control,,,
CO@2_0_35,House 2_Floor2_Bed1_Electric_Sockets_Status,,,
CO@2_0_37,House 2_Floor2_Bed1_Electric_Sockets_Current,0.0,2023-12-11 11:27:07,
CO@2_0_38,House 2_Floor2_Bed1_Electric_Sockets_Power,0.0,2023-12-11 11:27:04,
CO@2_0_4,House 2_Floor_Global_Electric_AppPower,96.65999603271484,2024-06-05 13:34:51,31.41
CO@2_0_40,House 2_Floor2_Bed1_Electric_Sockets_CumEnergy,0.0,2023-11-27 15:02:34,
CO@2_0_42,House 2_Floor2_Bed2_Electric_Sockets_Control,,,
CO@2_0_43,House 2_Floor2_Bed2_Electric_Sockets_Status,,,
CO@2_0_45,House 2_Floor2_Bed2_Electric_Sockets_Current,,,
CO@2_0_46,House 2_Floor2_Bed2_Electric_Sockets_Power,,,
CO@2_0_48,House 2_Floor2_Bed2_Electric_Sockets_CumEnergy,,,
CO@2_0_5,House 2_Floor_Global_Electric_ReacPower,-52.41999816894531,2024-03-18 11:37:57,
CO@2_0_6,House 2_Floor_Global_Electric_PowerFactor,0.6350000500679016,2024-06-05 10:56:11,11.7
CO@2_0_66,House 2_Floor1_LivingRoom_Electric_Lights_Control,0.0,2024-03-28 10:50:09,
CO@2_0_67,House 2_Floor1_LivingRoom_Electric_Lights_Status,0.0,2024-03-28 10:50:10,
CO@2_0_69,House 2_Floor1_LivingRoom_Electric_Lights_Current,0.0,2024-03-28 10:50:14,
CO@2_0_7,House 2_Floor_Global_Electric_CumEnergy,1.1912998764611e-39,2024-06-05 13:51:41,15.0
CO@2_0_70,House 2_Floor1_LivingRoom_Electric_Lights_Power,0.0,2024-03-28 10:50:13,
CO@2_0_72,House 2_Floor1_LivingRoom_Electric_Lights_CumEnergy,,,
CO@2_0_74,House 2_Floor1_Kitchen_Electric_Lights_Control,0.0,2024-03-27 06:49:41,
CO@2_0_75,House 2_Floor1_Kitchen_Electric_Lights_Status,0.0,2024-03-27 06:49:41,
CO@2_0_77,House 2_Floor1_Kitchen_Electric_Lights_Current,0.0,2024-03-27 06:49:45,
CO@2_0_78,House 2_Floor1_Kitchen_Electric_Lights_Power,0.0,2024-03-27 06:49:45,
CO@2_0_8,House 2_Floor_Global_Electric_CumReactEnergy,2010.0,2024-06-05 13:51:41,15.0
CO@2_0_80,House 2_Floor1_Kitchen_Electric_Lights_CumEnergy,,,
CO@2_0_82,House 2_Floor1_Hallway_Electric_Lights_Control,,,
CO@2_0_83,House 2_Floor1_Hallway_Electric_Lights_Status,0.0,2024-03-27 06:49:41,
CO@2_0_85,House 2_Floor1_Hallway_Electric_Lights_Current,0.0,2024-03-27 06:49:45,
CO@2_0_86,House 2_Floor1_Hallway_Electric_Lights_Power,0.0,2024-03-27 06:49:45,
CO@2_0_88,House 2_Floor1_Hallway_Electric_Lights_CumEnergy,,,
CO@2_0_9,House 2_Floor_Global_Electric_ACFrequency,50.05999755859375,2024-06-05 13:54:57,67.48
CO@2_1_11,House 2_Floor1_Bathroom_Electric_Radiator_Current,,,
CO@2_1_12,House 2_Floor1_Bathroom_Electric_Radiator_Power,0.0,2024-03-07 21:25:44,
CO@2_1_14,House 2_Floor1_Bathroom_Electric_Radiator_CumEnergy,,,
CO@2_1_8,House 2_Floor1_Bathroom_Electric_Radiator_Control,0.0,2024-05-24 17:15:01,
CO@2_1_9,House 2_Floor1_Bathroom_Electric_Radiator_Status,0.0,2024-05-24 17:15:01,
CO@2_2_0,House 2_Floor_Global_Gas_Volume,432.4399719238281,2024-06-05 13:44:12,15.0
CO@2_3_0,House 2_Floor_Global_Water_Meter_Volume,266.70001220703125,2024-06-05 13:52:03,5.0
CO@2_3_1,House 2_Floor_Global_Water_Meter_Flow,0.0,2024-06-05 13:57:03,5.0
CO@2_3_10,House 2_Floor1_Kitchen_Water_SinkCold_Temp,10.3,2024-06-02 21:57:52,1574.73
CO@2_3_11,House 2_Floor1_Kitchen_Water_SinkHot_Volume,1.3312335411085762e-43,2024-05-13 14:20:10,
CO@2_3_12,House 2_Floor1_Kitchen_Water_SinkHot_Flow,288.96,2024-05-13 14:21:25,
CO@2_3_13,House 2_Floor1_Kitchen_Water_SinkHot_Temp,9.5,2024-06-02 12:14:30,
CO@2_3_20,House 2_Floor1_Bathroom_Water_SinkCold_Volume,465.0,2023-12-21 09:13:45,
CO@2_3_21,House 2_Floor1_Bathroom_Water_SinkCold_Flow,,,
CO@2_3_22,House 2_Floor1_Bathroom_Water_SinkCold_Temp,10.0,2024-06-02 16:57:26,1602.73
CO@2_3_23,House 2_Floor1_Bathroom_Water_SinkHot_Volume,215.0,2023-12-18 22:50:25,
CO@2_3_24,House 2_Floor1_Bathroom_Water_SinkHot_Flow,43.64,2024-02-28 11:00:12,
CO@2_3_25,House 2_Floor1_Bathroom_Water_SinkHot_Temp,9.8,2024-06-02 16:34:21,1519.05
CO@2_3_26,House 2_Floor1_Bathroom_Water_BathCold_Volume,,,
CO@2_3_27,House 2_Floor1_Bathroom_Water_BathCold_Flow,0.0,2024-02-28 11:11:37,
CO@2_3_28,House 2_Floor1_Bathroom_Water_BathCold_Temp,10.200000000000001,2024-06-02 18:14:45,1530.2
CO@2_3_29,House 2_Floor1_Bathroom_Water_BathHot_Volume,1.3312335411085762e-43,2024-03-19 10:57:25,
CO@2_3_30,House 2_Floor1_Bathroom_Water_BathHot_Flow,0.0,2024-03-19 10:57:37,
CO@2_3_31,House 2_Floor1_Bathroom_Water_BathHot_Temp,9.6,2024-06-04 15:04:16,2711.85
CO@2_3_32,,,,
CO@2_3_33,,,,
CO@2_3_34,,,,
CO@2_3_35,,,,
CO@2_3_36,,,,
CO@2_3_37,,,,
CO@2_3_8,House 2_Floor1_Kitchen_Water_SinkCold_Volume,4.0,2023-12-21 09:36:01,
CO@2_3_83,House 2_Floor1_Bathroom_Water_ToiletCold_Volume,2.5223372357846707e-43,2024-05-28 12:21:14,
CO@2_3_84,House 2_Floor1_Bathroom_Water_ToiletCold_Flow,0.0,2024-06-03 06:52:23,536.85
CO@2_3_85,House 2_Floor1_Bathroom_Water_ToiletCold_Temp,9.8,2024-06-02 16:03:16,1545.25
CO@2_3_9,House 2_Floor1_Kitchen_Water_SinkCold_Flow,,,
CO@2_4_0,House 2_Floor1_LivingRoom_Other_Temperature,18.62,2024-06-05 13:52:24,5.0
CO@2_4_1,House 2_Floor1_LivingRoom_Other_Humidity,67.36,2024-06-05 13:53:14,5.17
CO@2_4_10,House 2_Floor1_Kitchen_Other_Temperature,18.98,2024-06-05 13:52:32,5.0
CO@2_4_11,House 2_Floor1_Kitchen_Other_Humidity,63.72,2024-06-05 13:53:22,5.17
CO@2_4_12,House 2_Floor1_Kitchen_Other_CO2,134.96,2024-06-05 13:52:32,4.72
CO@2_4_120,House 2_Floor1_Bathroom_Other_Temperature,18.52,2024-06-05 13:51:07,4.99
CO@2_4_121,House 2_Floor1_Bathroom_Other_Humidity,70.44,2024-06-05 13:51:57,5.13
CO@2_4_122,House 2_Floor1_Bathroom_Other_CO2,242.88,2024-06-05 13:51:07,4.86
CO@2_4_123,House 2_Floor1_Bathroom_Other_Occupancy,0.0,2024-06-05 13:26:02,28.4
