#,Ship Name,Abbreviation,Type,Co. Reference,LOA,Beam,Draught,Grt,Net Tonnag,Port Of Registration,Date of Registration,Nationality,Dead Weight,LRN
734,SPANACO FIDELITY,SPFI,FREIGHTER,563504,89.94,15.2,5.10,2984,1769.00,ST JOHNS,02/06/2009,ANTIGUA & BARBUDA,4192.00,9472024
735,SPANACO LOYALTY,SPA,FREIGHTER,507300,89.80,14.5,6.30,2.99,1.69,SAINT JOHN'S,01/01/2007,ANTIGUA AND BARBUDA,5.00,9373503
736,SPANACO RELIABILITY,SPAN,FREIGHTER,507300,89.80,14.5,6.30,2990,1686.00,,,,5000.00,
737,SPANISH ALTERNATIVE,SPANISH ALTERNATIVE,FERRY,507300,210.00,,,999,,,,,,
738,SPANISH VESSEL,SV,FERRY,CONFIDENTIAL,255.00,,,60000,,,,,,
739,SPIRIT OF ADVENTURE,SP OF ADV,CRUISE,20162,236.00,31.2,99.00,58250,,UK,,,,9818084
740,SPIRIT OF DISCOVERY,SPDIS,CRUISE,20162,236.00,,,58250,,LONDON,,UK,,9802683
741,SPIRIT OF GOSPORT,SGOS,FERRY,20141,30.51,10,3.00,300,,PORTSMOUTH,11/10/2001,UNITED KINGDOM,,8972089
742,SPIRIT OF PORTSMOUTH,SPIP,FERRY,20141,32.60,1,,377,126.00,,,UK,30.00,9319894
743,SPITSBERGEN,SPITSBERGEN,CRUISE,64766,101.00,18.0,5.30,7344,2312.00,TROMSO,01/05/2015,NORWAY (NIS),687.00,9434060
744,SPLIT 2,SPT2,DREDGER,29368,41.00,8,3.00,325,97.00,POOLE,01/01/1975,UNITED KINGDOM,,8633176
745,SPLIT 3,SPT3,DREDGER,29368,50.62,9,2.00,475,142.00,POOLE,01/01/1969,UNITED KINGDOM,,7012313
746,SPRING DELI,SDELI,FREIGHTER,28813,152.30,24,8.00,12783,4245.00,WILLEMSTAD,,NETHERLANDS,9891.00,8220424
747,ST CECILIA,STCEC,FERRY,20191,76.94,17,2.00,2968,904.00,LONDON,01/01/1987,UK,0.00,8518546
748,ST CLARE,STCLA,FERRY,20191,81.12,18,2.00,5359,1607.00,LONDON,,UK,0.00,9236949
749,ST FAITH,SFAI,FERRY,20191,76.94,17,2.00,3009,914.00,LONDON,01/01/1990,UK,0.00,8907228
750,ST HELENA,STHELENA,CRUISE,202362,105.00,,,6767,,,,,,
751,STAD AMSTERDAM,SAMS,MISCELLANEOUS,20162,78.00,10,4.00,723,277.00,AMSTERDAM,01/06/2000,DUTCH,110.00,9185554
752,STADT BREMERHAVEN,SBRE,FREIGHTER,28813,147.87,23,8.00,9954,5117.00,MAJURO,01/01/2005,MARSHAL ISLAN,0.00,9338278
753,STADT HAMELN,SHAM,FREIGHTER,28813,147.87,23,8.00,9957,5020.00,ST JOHNS,01/01/2007,ANTIGUA,13749.00,9330276
754,STAR BEST,STAR BEST,FREIGHTER,28813,162.50,26,9.00,14030,6742.00,PANAMA,01/12/2006,,13184.00,9350989
755,STAR BREEZE,STAR BREZ,CRUISE,20162,134.00,19,5.00,9975,,BAHAMAS,01/11/1989,BAHAMAS,5170.00,8807997
756,STAR CARE,SCAR,FREIGHTER,28813,162.50,26,9.00,14022,6724.00,PANAMA,13/10/2009,PANAMA,13300.00,9517903
757,STAR COURAGE,STA,FREIGHTER,28813,188.60,26.00,9.72,17164,8092.00,PANAMA,01/05/2017,,16727.00,9765859
758,STAR ENDEAVOUR,SEND,FREIGHTER,28813,162.50,26,9.00,14022,6724.00,PANAMA,24/02/2010,PANAMA,12967.00,9517927
759,STAR FIRST,STAR FIRST,FREIGHTER,28813,162.50,26.0,9.70,14030,,NASSAU,,BAHAMAS,,9330056
760,STAR LEADER,SLEAD,FREIGHTER,28813,162.50,26,9.00,14022,6724.00,PANAMA,01/04/2010,PANAMA,12955.00,9517939
761,STAR LEGEND,STAR LEGEND,CRUISE,20162,160.00,,,12969,,,,,,
